MEM_MATCH_ID,richness,RA_cen,DEC_cen,Z_LAMBDA,P_CEN1,Mr01_BCG,color_BCG,M200m_h07
1607,63.175064,153.0021652539862,-0.4149171051297852,0.25638455,0.6224327,-21.873,0.9736099,5.904355630026899E14
1608,44.319916,212.3017848741207,31.168064335158252,0.18891409,0.99994516,-22.913166,0.99139404,4.026336236853229E14
1610,43.496147,17.45523513362366,5.28283884702551,0.1325662,0.9676327,-22.559338,0.9979744,3.9455722573585425E14
1611,53.244072,220.15612707356718,13.05016269218468,0.18376856,0.91525227,-22.316284,1.0375652,4.90858298269616E14
1614,43.11477,214.25721236496543,13.911013445621451,0.16280511,0.96969044,-22.435635,0.958292,3.9082229035163394E14
1615,43.724968,211.86854914102372,27.82020477818906,0.16918541,0.7244408,-22.504618,0.99559784,3.96799423070193E14
1617,51.642303,188.4805524041326,15.43305233971104,0.22819124,0.759449,-22.40751,0.97208214,4.749295997541823E14
1619,56.508636,181.24287917688946,-3.0572947909022266,0.31746167,0.5741312,-22.673788,0.773159,5.2344031065536494E14
1621,46.287804,225.87173242357167,23.061760452732944,0.18654513,0.96937746,-22.334736,1.0052509,4.21975328378229E14
1622,63.953064,158.4127495690401,14.227029341946848,0.34805688,0.8360214,-22.842585,1.0769634,5.982922737317616E14
1623,41.192642,152.782214906465,16.079372491551677,0.14197011,0.99998707,-23.172699,1.0481911,3.7203894470840325E14
1626,46.104744,211.88144997148976,27.225336457553077,0.16833226,0.58217794,-22.373064,0.9587555,4.2017329582018994E14
1631,45.128426,119.02943487795343,38.56695927532797,0.2231042,0.9980689,-22.8011,0.9229927,4.1057202158190275E14
1633,56.828995,225.36772634986212,21.5732917185749,0.2677213,0.8610251,-23.218021,0.98773193,5.26645973749645E14
1635,71.96193,198.05284831256355,5.8325498393915405,0.33858883,0.5705021,-23.125128,0.98090553,6.796012637370474E14
1637,55.623848,187.0090132912527,34.67753751635627,0.2783258,0.9994552,-22.72545,0.97691154,5.1459441972234344E14
1638,60.13932,208.60506941133536,19.53878048683449,0.3494848,0.8859097,-22.806602,1.0806637,5.598534449089973E14
1639,47.24887,1.3498355996961209,16.219255056754797,0.118243136,0.93103004,-22.568275,1.0380859,4.314454638160202E14
1640,64.02934,231.30560418022623,2.574609696047941,0.32743248,0.8630372,-22.509083,0.8840828,5.990630473619992E14
1642,38.477257,114.15872015556837,39.41457718339682,0.1207853,0.9628702,-22.157167,0.96229553,3.456237658065125E14
1648,61.100388,355.2725675103684,0.30423564908423373,0.2944386,0.64000344,-21.43007,0.88612175,5.695221467912852E14
1649,62.641136,150.75646931263836,15.672736794406795,0.27181306,0.50960135,-22.220196,0.97940063,5.850481473508095E14
1650,58.003624,209.15320486439063,17.832503167329804,0.22143042,0.96582687,-22.538967,0.9745827,5.3841195784601656E14
1653,51.352455,133.80840818919575,18.51290027995621,0.27852118,0.7597517,-22.775913,0.9856701,4.7205139242454225E14
